年度,重大竊盜,普通竊盜,汽車竊盜,機車竊盜,贓物,賭博,重傷害,一般傷害,詐欺,背信,重利,妨害自由,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,其他毒品,毀棄損壞,妨害公務,強盜,搶奪,竊佔,偽造有價證券,故意殺人,過失致死,駕駛過失,妨害婚姻及家庭,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,內亂,重大恐嚇取財,一般恐嚇取財,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反選罷法,妨害秘密,遺棄,懲治走私條例,違反貪汙治罪條例,瀆職,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,違反就業服務法,妨害電腦使用,其他,暴力犯罪
2002,472,99889,48925,191250,1023,2322,82,11315,0,0,673,2234,83,2720,4533,13276,7447,97,0,4792,6168,456,3370,7880,376,230,1156,170,3509,537,2970,1716,73,500,688,0,35,6657,43,20,0,35,3641,831,30537,6,495,1799,54,75,60,9,15,19,749,0,4,682,5,27,14,1600,247,0,8297,14895
2003,352,99697,48373,182233,905,2408,110,9419,0,0,952,2183,73,3052,4484,13967,6791,123,0,4599,6348,373,2690,6546,350,214,1057,216,3452,473,2626,1859,79,507,663,0,45,6912,49,30,0,44,2372,1664,26451,3,587,23,45,102,29,5,10,67,512,0,6,662,12,18,10,1782,44,0,8880,12966
2004,326,112818,50719,166457,866,2477,67,8051,0,0,948,1860,80,2566,4130,21348,10917,240,0,4842,6682,341,2500,7025,261,119,910,160,3665,360,2738,1572,76,453,716,0,23,5394,38,32,0,48,1496,1499,30955,5,616,337,45,99,33,6,6,69,351,0,8,614,8,28,14,3201,50,0,21039,12706
2005,396,148105,48992,130661,727,2445,45,9891,43023,158,1182,2819,65,3270,4325,29872,16323,190,10,3057,10724,413,2970,8052,396,92,903,168,4388,411,2536,1793,54,388,985,0,31,4193,35,60,0,57,1804,1994,33170,4,892,916,80,107,28,4,10,55,186,0,4,544,4,21,13,2715,60,18298,9995,14301
2006,390,144513,33739,102919,1000,5266,46,11815,41352,133,2506,3335,64,4086,4767,31917,13056,253,14,165,13079,540,2580,6331,424,77,921,172,6071,490,2707,1812,75,373,975,0,24,5429,46,80,0,67,2614,1930,40602,6,1293,515,114,142,26,10,16,71,171,0,6,733,6,20,14,2301,47,8108,10434,12226
2007,321,118393,31966,90411,1003,5512,45,12110,40348,208,3228,3854,38,4918,4331,33615,18713,445,15,47,10744,667,1936,4123,459,70,881,139,7434,549,3560,1998,89,400,1128,0,24,4430,31,52,0,63,3362,3027,52309,2,1862,160,125,180,58,20,16,63,147,0,15,743,12,18,18,1770,65,6677,12868,9534
2008,295,101335,28508,79213,1299,5490,31,11223,40963,256,3466,3799,29,6434,4328,33785,18019,582,9,62,8940,693,1497,3428,537,87,803,119,7924,472,5993,1837,76,406,1128,0,10,3477,44,69,0,75,2762,2834,53416,7,1998,599,163,144,26,19,29,70,95,0,7,621,12,19,9,1592,29,4216,8031,8117
2009,203,77659,19697,57592,1037,5782,37,11250,38802,350,3508,4097,18,6702,4357,24280,19713,887,16,17,7619,685,1231,2568,624,130,832,103,8245,449,4138,1640,90,343,1429,0,5,2698,34,38,0,94,2419,2661,56346,6,2482,639,344,136,29,5,24,51,105,1,14,583,11,16,6,1358,22,4048,5770,6764
2010,171,75820,17106,49677,1223,6155,25,12506,28494,406,2942,5053,19,7893,3919,19504,27694,1098,16,6,8687,857,871,1686,718,77,743,93,10194,564,2462,1490,68,401,1688,0,9,1894,52,648,0,113,2003,2833,57654,7,3355,1123,287,154,14,9,25,13,86,0,21,561,6,16,8,1350,18,3851,5498,5312
2011,144,67436,11385,37866,1387,6837,28,13439,23612,464,2604,5876,10,8434,3409,17435,26968,1558,22,16,9313,1083,651,1010,700,73,686,118,11327,638,2215,1320,31,449,2258,0,5,1730,39,503,0,114,2185,3306,58046,15,4013,100,356,127,11,6,34,0,68,0,12,525,9,24,9,1361,16,8587,5671,4190
2012,121,61220,8577,30346,1133,6943,35,12848,20421,515,2216,6215,11,6894,3314,15661,26021,2192,18,109,7521,1231,564,711,749,64,624,120,12206,686,1986,1120,59,336,2730,0,1,1187,43,290,0,114,2043,3133,58035,12,3938,146,375,146,14,7,31,4,59,2,12,473,16,25,15,1349,26,4387,5956,3461
2013,96,52579,6535,23286,1023,6417,28,12401,18772,762,2038,6161,8,6540,3379,12675,24687,2727,25,16,6013,1132,465,536,747,51,469,82,13310,654,2092,818,36,165,2733,0,0,1138,33,306,0,144,2201,3352,66172,14,4357,2,358,149,10,10,35,3,48,0,20,515,18,22,14,1297,15,3115,6161,2525
2014,70,49476,6363,20421,1111,6204,25,11501,23053,760,1771,5985,5,6389,3515,11495,24625,2172,34,43,5932,1029,388,447,916,51,474,87,13198,634,1845,783,30,137,2822,1,0,995,137,290,0,164,2066,2764,73098,11,4650,1124,446,124,14,3,35,3,69,0,21,432,8,22,1,1426,15,7843,6747,2289
2015,71,43478,5638,17068,666,6969,22,11119,21172,653,1909,6361,7,5671,3406,13355,33463,2671,36,51,5304,1287,381,359,741,78,442,80,13431,647,2220,611,18,116,2903,0,0,1126,117,301,0,242,2128,2755,71075,3,4771,99,531,137,9,7,86,11,50,0,33,474,23,34,5,1663,9,2959,6748,1956
2016,37,38666,4500,14403,295,6798,23,11767,23175,819,1347,7136,4,6147,3424,13991,39097,1692,47,46,5335,1474,320,323,684,74,405,60,13755,622,1622,453,20,78,3091,0,1,884,92,631,0,319,2371,2610,68776,3,5333,191,532,115,12,9,25,15,70,0,16,461,7,24,11,1660,9,2472,6452,1627
2017,32,36825,3086,12082,246,6447,33,11676,22689,934,857,7391,3,6439,3438,13905,42501,2048,26,35,5298,1573,289,234,634,71,399,52,13820,591,1537,288,14,201,2850,0,0,806,201,734,0,277,2616,2087,67148,10,6797,1,570,104,10,4,20,3,72,0,22,457,13,28,9,1956,10,2196,8758,1260
2018,18,35652,2235,9686,173,4542,35,12221,23470,1115,473,8206,5,7382,3091,14278,39388,1757,29,28,5439,1622,207,192,595,70,323,56,15099,616,1540,221,7,168,2867,0,3,682,249,385,0,228,2776,1808,64153,3,7611,1365,660,114,4,5,23,4,76,0,33,459,20,36,7,1765,11,1928,7324,993
2019,33,34725,1456,6058,115,4858,20,13193,23647,995,669,8990,6,7801,2964,12791,32353,1807,49,35,5403,1572,192,137,559,81,302,76,16588,649,1218,194,7,150,3033,0,1,574,228,326,0,217,2134,2031,59876,5,8083,178,725,100,5,5,34,1,59,0,37,446,15,38,7,1475,8,1847,7168,859
2020,30,31469,1006,4511,112,3175,21,12645,23054,1553,1200,9994,1,8160,2980,8078,35474,1765,50,122,5232,1536,156,125,690,77,238,94,16578,451,999,158,7,204,3848,0,1,619,1231,828,0,177,2088,2211,53835,5,8949,208,903,106,7,10,39,1,48,0,33,506,9,38,15,1427,5,1799,8822,707
2021,16,30040,821,4190,73,2513,31,12686,24724,1344,614,11950,7,8420,3065,6306,30375,1863,52,48,5879,1252,155,112,737,65,212,80,18695,319,991,78,3,229,3771,0,0,562,1390,460,0,207,1844,1881,42001,8,8960,8,972,114,4,6,13,1,62,0,24,532,13,44,6,1221,10,1526,9497,598
2022,28,33013,676,3953,67,3135,24,13948,29509,1367,856,14438,1,10067,3422,7660,28549,1751,73,55,6791,1224,133,100,743,70,174,80,21172,349,849,64,3,306,4147,0,0,544,1229,332,0,201,2074,2278,41331,9,9833,1393,1163,142,2,7,27,2,66,0,30,598,10,51,9,1135,10,2156,12089,499
